timestamp,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,mbps,drop_delta,error_delta
2026-05-14T15:11:10,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:13,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:15,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:17,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:19,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:21,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:23,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:25,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:27,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:30,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:32,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:34,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:36,6871,13033,0,0,0,0,0.0,0,0
2026-05-14T15:11:38,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:40,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:42,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:44,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:46,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:48,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:50,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:52,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:54,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:56,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:11:59,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:01,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:03,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:05,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:07,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:09,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:11,6871,13103,0,0,0,0,0.0,0,0
2026-05-14T15:12:13,6941,13173,0,0,0,0,0.001,0,0
2026-05-14T15:12:15,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:17,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:20,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:22,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:24,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:26,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:28,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:30,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:32,6941,13173,0,0,0,0,0.0,0,0
2026-05-14T15:12:34,7011,13243,0,0,0,0,0.001,0,0
2026-05-14T15:12:36,7011,13243,0,0,0,0,0.0,0,0
2026-05-14T15:12:39,7011,13243,0,0,0,0,0.0,0,0
2026-05-14T15:12:41,7011,13243,0,0,0,0,0.0,0,0
2026-05-14T15:12:43,7011,13243,0,0,0,0,0.0,0,0
2026-05-14T15:12:45,7011,13243,0,0,0,0,0.0,0,0
2026-05-14T15:12:47,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:12:50,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:12:52,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:12:54,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:12:56,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:12:58,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:13:00,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:13:02,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:13:05,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:13:07,7011,13313,0,0,0,0,0.0,0,0
2026-05-14T15:13:09,7118,13634,0,0,0,0,0.002,0,0
2026-05-14T15:13:11,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:13,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:15,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:17,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:19,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:21,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:23,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:25,7118,13634,0,0,0,0,0.0,0,0
